tag,layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.4000000953674316,0,0,6,0,"[-0.010995766147971153, -0.4817570447921753, -0.17731958627700806, -0.1129862517118454, -0.4271641969680786, -0.11250436305999756, -0.05107535794377327, -0.38704192638397217]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.450000047683716,0,0,6,0,"[-0.011143828742206097, -0.48768556118011475, -0.1792905032634735, -0.11402866244316101, -0.43239104747772217, -0.11357726156711578, -0.051590729504823685, -0.3916957676410675]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.5,0,0,6,0,"[-0.01129189133644104, -0.4936140775680542, -0.18126142024993896, -0.11507107317447662, -0.43761786818504333, -0.1146501675248146, -0.0521061010658741, -0.39634960889816284]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.549999952316284,0,0,6,0,"[-0.011439953930675983, -0.49954259395599365, -0.1832323670387268, -0.11611347645521164, -0.4428447186946869, -0.11572306603193283, -0.052621472626924515, -0.40100347995758057]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.5999999046325684,0,0,6,0,"[-0.011588016524910927, -0.5054711103439331, -0.18520328402519226, -0.11715588718652725, -0.44807153940200806, -0.11679597198963165, -0.05313684046268463, -0.4056573212146759]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.6500000953674316,0,0,6,0,"[-0.011736080050468445, -0.5113996267318726, -0.18717420101165771, -0.11819830536842346, -0.453298419713974, -0.11786887794733047, -0.053652215749025345, -0.41031119227409363]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.700000047683716,0,0,6,0,"[-0.011884143576025963, -0.517328143119812, -0.18914511799812317, -0.11924070864915848, -0.45852524042129517, -0.1189417764544487, -0.05416758358478546, -0.41496506333351135]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.75,0,0,6,0,"[-0.012032206170260906, -0.5232566595077515, -0.19111603498458862, -0.12028311938047409, -0.4637520909309387, -0.12001468241214752, -0.054682955145835876, -0.4196189045906067]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.799999952316284,0,0,6,0,"[-0.01218026876449585, -0.5291851758956909, -0.19308695197105408, -0.1213255301117897, -0.4689789414405823, -0.12108758091926575, -0.05519832670688629, -0.424272745847702]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.8499999046325684,0,0,6,0,"[-0.012328331358730793, -0.5351136922836304, -0.19505786895751953, -0.12236793339252472, -0.47420576214790344, -0.12216048687696457, -0.05571369826793671, -0.42892661690711975]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.9000000953674316,0,0,6,0,"[-0.012476393952965736, -0.5410422086715698, -0.19702881574630737, -0.12341035157442093, -0.4794326424598694, -0.12323339283466339, -0.05622906982898712, -0.4335804879665375]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,3.950000047683716,0,0,6,0,"[-0.012624457478523254, -0.5469707250595093, -0.19899973273277283, -0.12445276230573654, -0.48465946316719055, -0.12430629134178162, -0.05674444139003754, -0.4382343292236328]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,4.0,0,0,6,0,"[-0.012772519141435623, -0.5528992414474487, -0.20097064971923828, -0.12549516558647156, -0.4898863136768341, -0.12537918984889984, -0.05725980922579765, -0.44288817048072815]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.0,0,0,6,0,"[-0.0033118927385658026, -0.049893222749233246, -0.04136277735233307, -0.04852131009101868, -0.04626436531543732, -0.04696405678987503, -0.02623959816992283, -0.04692351073026657]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.05000000074505806,0,0,6,0,"[-0.0034599557984620333, -0.0558217391371727, -0.04333370178937912, -0.04956372082233429, -0.051491208374500275, -0.048036955296993256, -0.026754969730973244, -0.0515773668885231]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.10000000149011612,0,0,6,0,"[-0.0036080183926969767, -0.06175025552511215, -0.04530462250113487, -0.0506061315536499, -0.05671805143356323, -0.04910986125469208, -0.02727033942937851, -0.05623122304677963]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.15000000596046448,0,0,6,0,"[-0.0037560814525932074, -0.0676787719130516, -0.047275543212890625, -0.051648542284965515, -0.06194489821791649, -0.0501827634871006, -0.027785710990428925, -0.06088507920503616]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.20000000298023224,0,0,6,0,"[-0.0039041440468281507, -0.07360728085041046, -0.049246467649936676, -0.05269094929099083, -0.06717173755168915, -0.051255665719509125, -0.02830108255147934, -0.0655389353632927]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.25,0,0,6,0,"[-0.004052206873893738, -0.07953579723834991, -0.05121738836169243, -0.05373336002230644, -0.0723985880613327, -0.05232856795191765, -0.028816454112529755, -0.07019279152154922]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.30000001192092896,0,0,6,0,"[-0.004200269468128681, -0.08546431362628937, -0.05318830907344818, -0.05477576702833176, -0.07762543112039566, -0.05340147018432617, -0.02933182381093502, -0.07484664767980576]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.3499999940395355,0,0,6,0,"[-0.004348332993686199, -0.09139283001422882, -0.05515923351049423, -0.05581817775964737, -0.08285227417945862, -0.054474376142024994, -0.029847197234630585, -0.07950050383806229]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.4000000059604645,0,0,6,0,"[-0.004496395587921143, -0.09732134640216827, -0.057130154222249985, -0.05686058849096298, -0.08807911723852158, -0.05554727464914322, -0.0303625650703907, -0.08415435999631882]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.45000001788139343,0,0,6,0,"[-0.004644458182156086, -0.10324986279010773, -0.05910107493400574, -0.057902999222278595, -0.09330596029758453, -0.05662018060684204, -0.030877936631441116, -0.08880821615457535]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.5,0,0,6,0,"[-0.004792520776391029, -0.10917837917804718, -0.06107199937105179, -0.05894540995359421, -0.09853280335664749, -0.057693079113960266, -0.03139330819249153, -0.09346207231283188]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.550000011920929,0,0,6,0,"[-0.004940584301948547, -0.11510689556598663, -0.06304292380809784, -0.05998782068490982, -0.10375964641571045, -0.05876598507165909, -0.031908679753541946, -0.09811592847108841]"
natural_granularity_AC1_total20k,0,2.0,1.0986123085021973,0.6000000238418579,0,0,6,0,"[-0.005088646896183491, -0.12103541195392609, -0.0650138407945633, -0.061030227690935135, -0.108986496925354, -0.05983889102935791, -0.03242405131459236, -0.10276978462934494]"
