layer,entropy,length,top1,top2_a,top2_b,top2_same_pair,logits_json
0,0.30000001192092896,8.0,1,1,4,0,"[-0.026335790753364563, 0.2466728389263153, -0.26238489151000977, -0.1170007586479187, 0.18481411039829254, -0.12815935909748077, -0.18365593254566193, 0.13373368978500366]"
0,0.30000001192092896,9.0,1,1,4,0,"[-0.030445335432887077, 0.3097022473812103, -0.2777900695800781, -0.12548932433128357, 0.237739697098732, -0.13912807404994965, -0.20653599500656128, 0.17980924248695374]"
0,0.30000001192092896,10.0,1,1,4,0,"[-0.03455487638711929, 0.37273162603378296, -0.2931952178478241, -0.13397789001464844, 0.29066526889801025, -0.15009677410125732, -0.22941607236862183, 0.2258847951889038]"
0,0.30000001192092896,11.0,1,1,4,0,"[-0.03866441920399666, 0.4357609748840332, -0.30860039591789246, -0.1424664407968521, 0.3435908555984497, -0.1610654890537262, -0.2522961497306824, 0.2719603180885315]"
0,0.30000001192092896,12.0,1,1,4,0,"[-0.04277396202087402, 0.4987903833389282, -0.3240055739879608, -0.15095500648021698, 0.3965163826942444, -0.17203418910503387, -0.27517619729042053, 0.3180358409881592]"
0,0.30000001192092896,13.0,1,1,4,0,"[-0.04688350111246109, 0.5618197917938232, -0.3394107222557068, -0.15944357216358185, 0.44944196939468384, -0.18300290405750275, -0.2980562746524811, 0.36411142349243164]"
0,0.30000001192092896,14.0,1,1,4,0,"[-0.050993043929338455, 0.6248491406440735, -0.35481590032577515, -0.16793213784694672, 0.5023674964904785, -0.19397160410881042, -0.3209363520145416, 0.4101869463920593]"
0,0.30000001192092896,15.0,1,1,4,0,"[-0.05510258302092552, 0.6878785490989685, -0.3702210783958435, -0.1764206886291504, 0.555293083190918, -0.2049403190612793, -0.3438163995742798, 0.4562625288963318]"
0,0.30000001192092896,16.0,1,1,4,0,"[-0.05921212583780289, 0.7509079575538635, -0.3856262266635895, -0.18490925431251526, 0.6082186698913574, -0.21590901911258698, -0.36669647693634033, 0.5023380517959595]"
0,0.3499999940395355,1.0,0,0,6,0,"[0.0022255212534219027, -0.19138145446777344, -0.1553189754486084, -0.058005258440971375, -0.18301863968372345, -0.051926858723163605, -0.024639461189508438, -0.18649137020111084]"
0,0.3499999940395355,2.0,0,0,6,0,"[-0.0018840203993022442, -0.1283520609140396, -0.17072415351867676, -0.06649381667375565, -0.1300930678844452, -0.06289556622505188, -0.04751953110098839, -0.14041581749916077]"
0,0.3499999940395355,3.0,0,0,1,1,"[-0.005993562284857035, -0.06532266736030579, -0.18612930178642273, -0.07498238235712051, -0.07716748863458633, -0.07386426627635956, -0.07039959728717804, -0.09434027969837189]"
0,0.3499999940395355,4.0,1,1,0,1,"[-0.010103102773427963, -0.0022932738065719604, -0.2015344798564911, -0.08347094058990479, -0.024241916835308075, -0.08483297377824783, -0.09327965974807739, -0.048264726996421814]"
0,0.3499999940395355,5.0,1,1,4,0,"[-0.01421264372766018, 0.06073613464832306, -0.21693965792655945, -0.09195949882268906, 0.028683647513389587, -0.0958016887307167, -0.11615973711013794, -0.0021891742944717407]"
0,0.3499999940395355,6.0,1,1,4,0,"[-0.018322186544537544, 0.12376552820205688, -0.23234480619430542, -0.10044806450605392, 0.08160923421382904, -0.10677038878202438, -0.1390397995710373, 0.043886348605155945]"
0,0.3499999940395355,7.0,1,1,4,0,"[-0.02243172749876976, 0.18679487705230713, -0.24774998426437378, -0.1089366227388382, 0.1345347911119461, -0.11773909628391266, -0.16191987693309784, 0.08996190130710602]"
