layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
4,w2,4,6,0,0.0011881589889526367
4,w2,4,7,0,1.0001906156539917
4,w2,5,6,0,1.000208854675293
4,w2,5,7,0,0.0015127062797546387
4,w2,6,7,1,1.0001779794692993
4,w3,0,1,1,0.9998377561569214
4,w3,0,2,0,0.004878997802734375
4,w3,0,3,0,0.9998840689659119
4,w3,0,4,0,0.002265334129333496
4,w3,0,5,0,0.9998767971992493
4,w3,0,6,0,0.00497061014175415
4,w3,0,7,0,0.999912440776825
4,w3,1,2,0,0.9998135566711426
4,w3,1,3,0,0.007402777671813965
4,w3,1,4,0,0.9997992515563965
4,w3,1,5,0,0.006718158721923828
4,w3,1,6,0,0.9998655319213867
4,w3,1,7,0,0.006722152233123779
4,w3,2,3,1,0.9998711347579956
4,w3,2,4,0,0.005173206329345703
4,w3,2,5,0,0.9998502135276794
4,w3,2,6,0,0.004890024662017822
4,w3,2,7,0,0.9998908042907715
4,w3,3,4,0,0.999870240688324
4,w3,3,5,0,0.007199525833129883
4,w3,3,6,0,0.9999188184738159
4,w3,3,7,0,0.007296323776245117
4,w3,4,5,1,0.9998376965522766
4,w3,4,6,0,0.005262494087219238
4,w3,4,7,0,0.9998841881752014
4,w3,5,6,0,0.9999033212661743
4,w3,5,7,0,0.006426811218261719
4,w3,6,7,1,0.999935507774353
5,w1,0,1,1,0.9933603405952454
5,w1,0,2,0,0.005794942378997803
5,w1,0,3,0,0.9933674335479736
5,w1,0,4,0,0.004339277744293213
5,w1,0,5,0,0.9932917356491089
5,w1,0,6,0,0.005115687847137451
5,w1,0,7,0,0.9933664202690125
5,w1,1,2,0,0.9933607578277588
5,w1,1,3,0,0.004834473133087158
5,w1,1,4,0,0.99335777759552
5,w1,1,5,0,0.005529522895812988
5,w1,1,6,0,0.9932870268821716
5,w1,1,7,0,0.004065155982971191
5,w1,2,3,1,0.9933605790138245
5,w1,2,4,0,0.004385888576507568
5,w1,2,5,0,0.9932752251625061
5,w1,2,6,0,0.0056244730949401855
5,w1,2,7,0,0.993353009223938
5,w1,3,4,0,0.9933578372001648
5,w1,3,5,0,0.005694985389709473
5,w1,3,6,0,0.9932966232299805
5,w1,3,7,0,0.0040740966796875
5,w1,4,5,1,0.9932792782783508
5,w1,4,6,0,0.00433504581451416
5,w1,4,7,0,0.9933538436889648
5,w1,5,6,0,0.9932222366333008
5,w1,5,7,0,0.004190206527709961
5,w1,6,7,1,0.993299126625061
5,w2,0,1,1,1.0001903772354126
5,w2,0,2,0,0.0015549659729003906
5,w2,0,3,0,1.0001720190048218
5,w2,0,4,0,0.0011176466941833496
5,w2,0,5,0,1.0001745223999023
5,w2,0,6,0,0.0013495683670043945
5,w2,0,7,0,1.0001929998397827
5,w2,1,2,0,1.0001890659332275
5,w2,1,3,0,0.0012871026992797852
5,w2,1,4,0,1.0001765489578247
5,w2,1,5,0,0.001503586769104004
5,w2,1,6,0,1.000207781791687
5,w2,1,7,0,0.0010541081428527832
5,w2,2,3,1,1.0001728534698486
5,w2,2,4,0,0.001132965087890625
5,w2,2,5,0,1.0001758337020874
5,w2,2,6,0,0.0014998912811279297
5,w2,2,7,0,1.000194787979126
5,w2,3,4,0,1.0001585483551025
5,w2,3,5,0,0.001553177833557129
5,w2,3,6,0,1.0001916885375977
5,w2,3,7,0,0.0010578632354736328
5,w2,4,5,1,1.0001620054244995
5,w2,4,6,0,0.0011124610900878906
5,w2,4,7,0,1.000182032585144
5,w2,5,6,0,1.0001931190490723
5,w2,5,7,0,0.0010977387428283691
5,w2,6,7,1,1.000213384628296
5,w3,0,1,1,0.9996892213821411
5,w3,0,2,0,0.006602883338928223
5,w3,0,3,0,0.9996453523635864
5,w3,0,4,0,0.004970908164978027
5,w3,0,5,0,0.9996340274810791
