layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
1,w1,5,6,0,0.9880986213684082
1,w1,5,7,0,0.0013840198516845703
1,w1,6,7,1,0.9880257844924927
1,w2,0,1,1,1.0002176761627197
1,w2,0,2,0,0.0002612471580505371
1,w2,0,3,0,1.0002176761627197
1,w2,0,4,0,0.0004811286926269531
1,w2,0,5,0,1.0002176761627197
1,w2,0,6,0,0.0007648468017578125
1,w2,0,7,0,1.0002161264419556
1,w2,1,2,0,1.000218152999878
1,w2,1,3,0,-0.0002728700637817383
1,w2,1,4,0,1.0002162456512451
1,w2,1,5,0,-0.0002728700637817383
1,w2,1,6,0,1.0002379417419434
1,w2,1,7,0,0.0002574324607849121
1,w2,2,3,1,1.000218152999878
1,w2,2,4,0,-4.315376281738281e-05
1,w2,2,5,0,1.000218152999878
1,w2,2,6,0,0.0002605915069580078
1,w2,2,7,0,1.0002171993255615
1,w2,3,4,0,1.0002162456512451
1,w2,3,5,0,-0.0002728700637817383
1,w2,3,6,0,1.0002379417419434
1,w2,3,7,0,0.0002574324607849121
1,w2,4,5,1,1.0002162456512451
1,w2,4,6,0,0.00048673152923583984
1,w2,4,7,0,1.000215768814087
1,w2,5,6,0,1.0002379417419434
1,w2,5,7,0,0.0002574324607849121
1,w2,6,7,1,1.0002366304397583
1,w3,0,1,1,0.9996628165245056
1,w3,0,2,0,0.0017855167388916016
1,w3,0,3,0,0.9996628165245056
1,w3,0,4,0,0.0025959014892578125
1,w3,0,5,0,0.9996628165245056
1,w3,0,6,0,0.003731250762939453
1,w3,0,7,0,0.9996748566627502
1,w3,1,2,0,0.9996932148933411
1,w3,1,3,0,-0.0003781318664550781
1,w3,1,4,0,0.9997339844703674
1,w3,1,5,0,-0.0003781318664550781
1,w3,1,6,0,0.9997291564941406
1,w3,1,7,0,0.0017679929733276367
1,w3,2,3,1,0.9996932148933411
1,w3,2,4,0,0.0005879402160644531
1,w3,2,5,0,0.9996932148933411
1,w3,2,6,0,0.0018010139465332031
1,w3,2,7,0,0.9997061491012573
1,w3,3,4,0,0.9997339844703674
1,w3,3,5,0,-0.0003781318664550781
1,w3,3,6,0,0.9997291564941406
1,w3,3,7,0,0.0017679929733276367
1,w3,4,5,1,0.9997339844703674
1,w3,4,6,0,0.0026363134384155273
1,w3,4,7,0,0.9997463226318359
1,w3,5,6,0,0.9997291564941406
1,w3,5,7,0,0.0017679929733276367
1,w3,6,7,1,0.9997451305389404
2,w1,0,1,1,0.9918256402015686
2,w1,0,2,0,-0.00037097930908203125
2,w1,0,3,0,0.9918256402015686
2,w1,0,4,0,-0.00037097930908203125
2,w1,0,5,0,0.9918125867843628
2,w1,0,6,0,0.0013086199760437012
2,w1,0,7,0,0.9918256402015686
2,w1,1,2,0,0.9918256402015686
2,w1,1,3,0,-0.00026726722717285156
2,w1,1,4,0,0.9918256402015686
2,w1,1,5,0,0.0013428926467895508
2,w1,1,6,0,0.9917675256729126
2,w1,1,7,0,-0.00026726722717285156
2,w1,2,3,1,0.9918256402015686
2,w1,2,4,0,-0.00037097930908203125
2,w1,2,5,0,0.9918125867843628
2,w1,2,6,0,0.0013086199760437012
2,w1,2,7,0,0.9918256402015686
2,w1,3,4,0,0.9918256402015686
2,w1,3,5,0,0.0013428926467895508
2,w1,3,6,0,0.9917675256729126
2,w1,3,7,0,-0.00026726722717285156
2,w1,4,5,1,0.9918125867843628
2,w1,4,6,0,0.0013086199760437012
2,w1,4,7,0,0.9918256402015686
2,w1,5,6,0,0.9917505383491516
2,w1,5,7,0,0.0013428926467895508
2,w1,6,7,1,0.9917675256729126
2,w2,0,1,1,1.0001630783081055
2,w2,0,2,0,-0.00026106834411621094
2,w2,0,3,0,1.0001630783081055
2,w2,0,4,0,-0.00026106834411621094
