layer,param,num_experts,experts,mean_pair_cos,min_pair_cos,max_pair_cos,mean_pair_rel_l2,min_pair_rel_l2,max_pair_rel_l2,mean_paired_cos_01_23_45_67,mean_paired_rel_l2_01_23_45_67,mean_weight_norm
20,w1.weight,8,"0,1,2,3,4,5,6,7",0.43232708279642146,0.007034349720925093,0.9999428391456604,0.8278345785023278,0.02586950320890415,1.4092335457506369,0.007551541086286306,1.4088678101097099,61.96547842025757
20,w2.weight,8,"0,1,2,3,4,5,6,7",0.4286682229202207,0.00022605422418564558,1.0002037286758423,0.8195370258389479,0.013588801788339972,1.414055730810374,0.000246103634708561,1.4140410566721409,118.28751373291016
20,w3.weight,8,"0,1,2,3,4,5,6,7",0.42748051325699116,-0.0009699970250949264,0.9999218583106995,0.8314671642585424,0.02705008107113793,1.4148958464897037,-0.0009343056590296328,1.41487455922812,60.034226417541504
21,w1.weight,8,"0,1,2,3,4,5,6,7",0.432000865860443,0.00647764140740037,1.0002548694610596,0.8244610016805138,0.008375242530618974,1.4096473512628782,0.006812418578192592,1.4093955380547292,62.45828199386597
21,w2.weight,8,"0,1,2,3,4,5,6,7",0.4293430422549136,0.0013303650775924325,1.0002930164337158,0.8167067132638431,0.004353935505558398,1.4132744710644622,0.0013539464271161705,1.413253916541316,119.16219329833984
21,w3.weight,8,"0,1,2,3,4,5,6,7",0.4285071680871105,0.0006083407788537443,1.0002565383911133,0.8265974088396701,0.008867990322302144,1.4137876117097714,0.0006249437719816342,1.4137710506472847,60.44363594055176
22,w1.weight,8,"0,1,2,3,4,5,6,7",0.4316640571258696,0.005887572653591633,1.0001614093780518,0.8264681537553354,0.015333386408191707,1.4100465842061274,0.006309415097348392,1.409749869818628,62.70208787918091
22,w2.weight,8,"0,1,2,3,4,5,6,7",0.4285131536431176,-9.929217776516452e-05,1.0002455711364746,0.8181981896469873,0.008235427656242016,1.4142783929480252,-7.002849997661542e-05,1.4142589694944796,120.26717567443848
22,w3.weight,8,"0,1,2,3,4,5,6,7",0.42788471421954455,-0.0004011948767583817,1.0001506805419922,0.8288126682538692,0.015973986307899292,1.414499344643595,-0.0003681362359202467,1.4144710830649445,60.842307567596436
23,w1.weight,8,"0,1,2,3,4,5,6,7",0.43312212229440256,0.00880558229982853,0.999697744846344,0.8294430337515337,0.03397905872816945,1.4079806066869285,0.009150340687483549,1.4077332070198123,62.87801742553711
23,w2.weight,8,"0,1,2,3,4,5,6,7",0.4290259237085203,0.0008849975420162082,1.0001394748687744,0.8198309942679242,0.017503955099022687,1.4135831119116928,0.0008979031117632985,1.413574653587229,120.71284866333008
23,w3.weight,8,"0,1,2,3,4,5,6,7",0.42841714359279387,0.0008222646429203451,0.9996901154518127,0.8325262371091375,0.034559678771401564,1.4136407599609906,0.0008668352238601074,1.4136033445263507,61.24823045730591
24,w1.weight,8,"0,1,2,3,4,5,6,7",0.43444661796092987,0.010556094348430634,1.0003080368041992,0.816131093774849,0.0,1.406737096977554,0.010730757843703032,1.4066106801446217,62.73607778549194
24,w2.weight,8,"0,1,2,3,4,5,6,7",0.4285883843798989,-7.509355782531202e-05,1.0003132820129395,0.8137568449041014,0.0,1.41427407347021,-6.268649667617865e-05,1.414255261547972,122.00591850280762
24,w3.weight,8,"0,1,2,3,4,5,6,7",0.4286626371467719,0.0004982076352462173,1.0003037452697754,0.8196495028749133,0.0,1.4138729284266383,0.0005288991669658571,1.4138391609664704,61.66800928115845
